stockieAI-1659028687,1659028789.307,1,0.5,0.2508,0.2503,0.5
stockieAI-1659028687,1659028799.745,1,0.51,0.2501,0.2501,0.5
stockieAI-1659028687,1659028809.511,1,0.51,0.25,0.25,0.5
stockieAI-1659028687,1659028821.434,1,0.51,0.25,0.2499,0.5
stockieAI-1659028687,1659028831.506,1,0.51,0.25,0.2499,0.51
stockieAI-1659028687,1659028841.816,1,0.51,0.25,0.2501,0.5
stockieAI-1659028687,1659028851.591,1,0.51,0.25,0.25,0.51
stockieAI-1659028687,1659028861.129,1,0.51,0.2501,0.2516,0.5
stockieAI-1659028687,1659028872.228,1,0.51,0.2509,0.25,0.5
stockieAI-1659028687,1659028882.147,1,0.5,0.2508,0.25,0.51
stockieAI-1659028687,1659028892.199,1,0.5,0.2509,0.25,0.5
stockieAI-1659028687,1659028902.248,1,0.5,0.2507,0.25,0.5
stockieAI-1659028687,1659028911.495,1,0.5,0.2508,0.25,0.5
stockieAI-1659028687,1659028929.555,2,0.5,0.25,0.2499,0.51
stockieAI-1659028687,1659028941.23,2,0.51,0.25,0.2499,0.51
stockieAI-1659028687,1659028951.69,2,0.51,0.2499,0.25,0.51
stockieAI-1659028687,1659028960.827,2,0.51,0.25,0.2503,0.5
stockieAI-1659028687,1659028971.217,2,0.51,0.2499,0.2501,0.5
stockieAI-1659028687,1659028981.492,2,0.51,0.25,0.2502,0.5
stockieAI-1659028687,1659028994.817,2,0.51,0.2499,0.2499,0.51
stockieAI-1659028687,1659029006.505,2,0.51,0.2501,0.25,0.51
stockieAI-1659028687,1659029019.492,2,0.51,0.251,0.2499,0.51
stockieAI-1659028687,1659029031.168,2,0.51,0.2509,0.2499,0.51
stockieAI-1659028687,1659029042.87,2,0.5,0.2509,0.2582,0.51
stockieAI-1659028687,1659029054.585,2,0.51,0.2507,0.25,0.51
stockieAI-1659028687,1659029066.82,2,0.5,0.2508,0.25,0.5
stockieAI-1659028687,1659029086.636,3,0.51,0.2499,0.25,0.51
stockieAI-1659028687,1659029097.392,3,0.51,0.2499,0.25,0.51
stockieAI-1659028687,1659029108.09,3,0.51,0.2499,0.2498,0.52
stockieAI-1659028687,1659029118.789,3,0.51,0.2499,0.25,0.51
stockieAI-1659028687,1659029129.742,3,0.51,0.25,0.2498,0.51
stockieAI-1659028687,1659029141.665,3,0.51,0.25,0.25,0.51
stockieAI-1659028687,1659029152.225,3,0.51,0.25,0.2499,0.51
stockieAI-1659028687,1659029164.751,3,0.51,0.25,0.25,0.51
stockieAI-1659028687,1659029176.834,3,0.51,0.251,0.2499,0.51
stockieAI-1659028687,1659029188.645,3,0.5,0.2506,0.2503,0.51
stockieAI-1659028687,1659029199.733,3,0.5,0.2516,0.25,0.51
stockieAI-1659028687,1659029211.159,3,0.51,0.2516,0.25,0.51
stockieAI-1659028687,1659029221.541,3,0.5,0.2521,0.25,0.5
stockieAI-1659028687,1659029244.626,4,0.51,0.2499,0.25,0.51
stockieAI-1659028687,1659029256.914,4,0.51,0.2499,0.25,0.5
stockieAI-1659028687,1659029269.22,4,0.51,0.2499,0.2621,0.5
stockieAI-1659028687,1659029281.824,4,0.51,0.25,0.2531,0.5
stockieAI-1659028687,1659029294.084,4,0.51,0.25,0.2499,0.51
stockieAI-1659028687,1659029306.677,4,0.51,0.2499,0.2498,0.51
stockieAI-1659028687,1659029319.176,4,0.51,0.25,0.25,0.51
stockieAI-1659028687,1659029331.498,4,0.51,0.25,0.2501,0.51
stockieAI-1659028687,1659029345.34,4,0.51,0.2512,0.25,0.5
stockieAI-1659028687,1659029357.986,4,0.5,0.2507,0.2499,0.51
stockieAI-1659028687,1659029370.403,4,0.51,0.2505,0.2501,0.5
stockieAI-1659028687,1659029382.559,4,0.5,0.251,0.2501,0.5
stockieAI-1659028687,1659029394.866,4,0.5,0.251,0.2499,0.5
stockieAI-1659028687,1659029419.086,5,0.51,0.25,0.2501,0.51
stockieAI-1659028687,1659029430.828,5,0.51,0.2499,0.2505,0.5
stockieAI-1659028687,1659029441.477,5,0.51,0.25,0.2498,0.51
stockieAI-1659028687,1659029452.111,5,0.51,0.25,0.2501,0.5
stockieAI-1659028687,1659029462.691,5,0.51,0.2499,0.2498,0.51
stockieAI-1659028687,1659029473.922,5,0.51,0.2499,0.2503,0.5
stockieAI-1659028687,1659029483.95,5,0.51,0.2499,0.2515,0.51
stockieAI-1659028687,1659029494.219,5,0.51,0.25,0.2499,0.51
stockieAI-1659028687,1659029507.552,5,0.51,0.251,0.2499,0.51
